product_name,genre,price,stock
A Smoky Mountain Christmas,Fantasy,266907,79
Titanica,Documentary|IMAX,497229,72
Kolberg,Drama|War,916307,58
Dr. Goldfoot and the Bikini Machine,Comedy,538052,61
Angel Baby,Drama,875768,100
"5th Musketeer, The (a.k.a. Fifth Musketeer, The)",Adventure,672048,100
American Ninja 5,Action,933011,100
"Matrix Reloaded, The",Action|Adventure|Sci-Fi|Thriller|IMAX,662626,74
"OH in Ohio, The",Comedy,607017,90
Cadence,Drama,193866,95
Send a Bullet (Manda Bala),Documentary,940923,58
Bigger Than the Sky,Comedy|Drama|Romance,545189,94
Beastie Boys: Sabotage,(no genres listed),321805,62
Twin Peaks: Fire Walk with Me,Crime|Drama|Mystery|Thriller,657053,92
In Two Minds,(no genres listed),398860,84
Midnight,Comedy|Romance,105922,58
Something Wild,Comedy|Crime|Drama,254366,66
Sealed Cargo,Thriller|War,341639,89
Sagebrush Trail,Western,643804,98
Inside: 'Dr. Strangelove or How I Learned to Stop Worrying and Love the Bomb',Documentary,732069,98
"Relic, The",Horror|Thriller,210169,56
Tea with Mussolini,Comedy|Drama|War,779496,78
"Slams, The",Action|Drama,316202,80
Cops,Comedy,690275,74
"Rack, The",Drama|War,378084,76
Ed Hardy: Tattoo the World ,Documentary,957876,94
"L-Shaped Room, The",Drama,210860,59
"Greatest, The",Drama,242825,86
El malvado Carabel,Comedy,442092,68
For Keeps,Drama|Romance,549215,64
Rubber Johnny,Animation|Horror,571241,71
Darling,Drama,989189,92
Freeway II: Confessions of a Trickbaby,Comedy|Crime|Drama|Thriller,655015,82
Fancy Pants,Comedy|Western,679793,74
Belle Starr,Western,550380,59
"Hollywood Complex, The",Documentary,751804,81
Reindeer Games,Action|Thriller,784627,92
Zatoichi the Outlaw (Zatôichi rôyaburi) (Zatôichi 16),Action|Drama,654855,74
See How They Fall (Regarde les hommes tomber),Drama,520535,74
American Addict,Documentary,963836,83
A Star Athlete,Comedy|Drama,296743,60
Beyond a Reasonable Doubt,Crime|Drama|Film-Noir,678227,86
"Many Adventures of Winnie the Pooh, The",Animation|Children|Musical,756861,100
Ceremony,Comedy,992552,82
Omega Doom,Sci-Fi,640776,56
Halloween III: Season of the Witch,Horror,390562,64
Predator 2,Action|Sci-Fi|Thriller,129196,65
"King Is Alive, The",Drama,182035,63
Red Corner,Crime|Thriller,666105,77
"End of America, The",Documentary,303241,68
Balls of Fury,Comedy,762358,94
Holy Wars,Documentary,933374,64
James Dean Remembered,Documentary,530417,59
Harmagedon,Action|Drama,424022,61
Boy Meets Girl,Comedy|Romance,385813,64
"Battle of the Sexes, The",Comedy,735189,86
"Strangler, The",Horror,992117,60
Caught Inside,Action|Adventure|Horror|Thriller,556737,61
Ray,Drama,315361,65
Chariots of the Gods (Erinnerungen an die Zukunft),Documentary,263308,57
Halo Legends,Action|Animation|Sci-Fi,894315,70
Venus Boyz,Documentary,635260,62
Centurion,Action|Adventure|Drama|Thriller|War,576580,78
Zandalee,Drama|Thriller,298727,91
BlinkyTM,Horror|Sci-Fi,680631,88
"Mack, The",Crime,701022,80
Angelus,Comedy|Drama,926013,51
Fiston,Comedy,725231,65
Urban Ghost Story,Drama,995753,81
Autómata (Automata),Sci-Fi|Thriller,953007,88
Sherlock Holmes: Terror by Night,Crime|Mystery|Thriller,492058,60
"Electra, My Love (Szerelmem, Elektra)",Drama,823334,57
The Tattooist,Horror|Thriller,850843,52
Flow,Drama,708560,59
Clockwise,Comedy,490325,56
Untraceable,Crime|Thriller,817523,100
Evolver,Action|Horror|Sci-Fi,519295,52
Carbon Copy,Comedy,263627,76
Reign of Fire,Action|Adventure|Fantasy,344774,83
